num_msm,avg_processing_time(sec),total_processing_time(sec),memory_allocated(MiB)
1,0.013838,0.013838,2.374237060546875
10,0.006792428,0.067924288,2.374237060546875
50,0.005292383,0.264619172,2.374237060546875
100,0.005301404,0.530140488,2.3099288940429688
250,0.005304234,1.32605863,0.8053436279296875
500,0.005299182,2.6495914259999997,0.5662765502929688
750,0.00531123,3.983422632,0.5648117065429688
1000,0.005303228,5.303228419,0.5648117065429688
